inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
09016722513003151000000000U4,ANTOJITOS LILI,0-5,INGENIEROS MILITARES,,,-99.21424320,19.45838570,CDMX
09002722212004781000000000U6,CASA DE LA TIA LALIS,0-5,LIBERTAD,18,,-99.18475291,19.46084035,CDMX
09015722511020123000000000U8,COOK RAMEN,11-30,AMBERES,33,,-99.16557524,19.42597647,CDMX
09015722516003121000000000U2,SABOR NORTEÑO,0-5,TAMAULIPAS,141,0,-99.17562178,19.40976206,CDMX
09016722514006411000000000U7,TAQUERIA EL CHILA,0-5,JALISCO,0,0,-99.18632349,19.40377946,CDMX
09015722511000104001002870S2,50 FRIENDS CONDESA,0-5,CADEREYTA,19,,-99.17270411,19.41254690,CDMX
09016722513002291000000000U9,GALLINAZO,0-5,INGENIEROS MILITARES,0,0,-99.21423344,19.45841282,CDMX
09010722212000911000000000U6,COCINA LA ESCONDIDA,0-5,SUR 116,25,,-99.19857168,19.40207754,CDMX
09015722514017471000000000S0,LOS DESTACADOS,0-5,Belgrado,19,0,-99.16536994,19.42679359,CDMX
09015722515010861000000000U6,TIJUANILLA,0-5,TAMAULIPAS,72,6,-99.17365643,19.41153619,CDMX
15057722212008441000000000U9,TORTAS EL GUERO,0-5,PARQUE DEL RIO FRIO,9,0,-99.22148569,19.45247309,CDMX
09015722511019381000000000U5,MASALE,0-5,ALFONSO HERRERA,122,,-99.16591158,19.44065038,CDMX
09016722514002311000000000U3,TACOS DE GUISADO,0-5,INGENIEROS MILITARES,,,-99.21422369,19.45843993,CDMX
09016722514007461000000000U1,TACOS SIN NOMBRE,0-5,JALISCO,,,-99.18681543,19.40358185,CDMX
09015722110004103000000000U1,TENNESSEE,11-30,MICHOACAN,80,0,-99.17383041,19.41133107,CDMX
15057722518004041000000000U1,PUESTO DE COMIDA,0-5,MANUEL AVILA CAMACHO,0,0,-99.22017608,19.45386598,CDMX
09016722513003171000000000U2,4 HERMANOS,0-5,INGENIEROS MILITARES,,,-99.21421394,19.45846705,CDMX
09016722110000451000000000U6,FONDA EL RINCON DE CARMELITA,0-5,MAR EGEO,245,,-99.17864274,19.45775043,CDMX
09015722518011311000000000U5,MANKA FOODS,0-5,LIVERPOOL,179,4,-99.16626618,19.42333510,CDMX
09015722518011302000000000U4,DIVITA,6-10,LIVERPOOL,179,4,-99.16626618,19.42333510,CDMX
09015722514016261000000000U6,SIRLOIN TAQUERIA,0-5,LIVERPOOL,179,1,-99.16626618,19.42333510,CDMX
09015722517004913000064680S9,CHUBBIES BURGUER,11-30,LIVERPOOL,179,,-99.16626618,19.42333510,CDMX
09015722514015991000000000U9,DON KEBAB,0-5,LIVERPOOL,179,13,-99.16626618,19.42333510,CDMX
09015722514016711000000000U0,TORTAS LA CASTELLANA,0-5,LIVERPOOL,179,2,-99.16626618,19.42333510,CDMX
09015722511001362001000000U5,LA PIPORRA,0-5,SINALOA,76,0,-99.16732560,19.42062108,CDMX
09016722310000471000000000U0,CARNITAS LAS CORONELAS,0-5,MAR EGEO,177,,-99.18087265,19.45910111,CDMX
15057722514007301000000000U5,TACOS EL CHAPARRITO,0-5,PARQUE DEL RIO FRIO,0,,-99.22156509,19.45243288,CDMX
09016722514007441000000000U3,TACOS DE GUISADO NUEVA ERA,0-5,JALISCO,,,-99.18635834,19.40370965,CDMX
09002722514001731000000000U3,TAQUERIA PANCHITO,0-5,AZCAPOTZALCO,83,0,-99.18821288,19.46205574,CDMX
09016722513004791000000000U6,CALDOS DE GALLINA PALERMO,0-5,ERASMO CASTELLANOS QUINTO,,,-99.18835190,19.40310213,CDMX
15057722514005891000000000U7,SUPER TORTAS HIPODROMO,0-5,NARCISO MENDOZA,26,0,-99.22902961,19.43637756,CDMX
09015722514009561000000000U8,SUPER TORTAS MEDELLIN,0-5,MEDELLIN,,,-99.16689910,19.42155105,CDMX
09015722514015561000000000U0,MAMA GANOUSH,0-5,FRANCISCO PIMENTEL,61,58,-99.16553758,19.43943973,CDMX
09015722511006225001000000U9,RESTAURANTE WICHITOS,11-30,TAMAULIPAS,96,,-99.17456971,19.41058228,CDMX
09015722518010781000000000U0,LUNA Y SOL,0-5,MEDELLIN,27,0,-99.16696159,19.42138870,CDMX
09015722512000011001000000U7,LA PESCADERIA,0-5,OAXACA,137,,-99.16960861,19.41637825,CDMX
09015722514016041000000000U2,TORTAS AHOGADAS MX,0-5,SINALOA,74,,-99.16726696,19.42063420,CDMX
09010722513002481000000000U9,ANTOJITOS MEXICANOS SIN NOMBRE,0-5,OBSERVATORIO,249,,-99.20002969,19.40209285,CDMX
09015722511017561000000000U4,RESTAURANTES CON SERVICIO DE PREPARACION DE ALIMENTOS A LA CARTA O DE COMIDA CORRIDA SIN NOMBRE,0-5,SINALOA,64,,-99.16725701,19.42063239,CDMX
15057722516001294000003396S3,M09280 MC DONALDS PARQUE TOREO 928,0-5,MANUEL ÁVILA CAMACHO,5,,-99.21958341,19.45452084,CDMX
09015722110004863001000000U0,KABUKI SUSHI RESTAURANTE,11-30,MICHOACAN,78,,-99.17373503,19.41133299,CDMX
09015722212026141000000000U9,COCINA VEGETARIANA,0-5,GUILLERMO PRIETO,72,0,-99.16518595,19.43795783,CDMX
09015722219032032000000000U7,RESTAURAN YUCATECO EL YUCA,6-10,LONDRES,167,,-99.16579840,19.42462847,CDMX
15057541810000832000000000U7,LAS COSAS POR SU NOMBRE,0-5,NARCISO MENDOZA,0,,-99.22907447,19.43634677,CDMX
09015722511023162000000000U3,EL TLAYUDERO NTOJITOS OAXAQUEÑOS,6-10,FRANCISCO PIMENTEL,68,,-99.16546315,19.43929757,CDMX
09016722518004331000000000U0,COCINA DE POSTRES,0-5,ARQUITECTO CARLOS LAZO,94,,-99.19200983,19.40230434,CDMX
09016722219011762001000000U2,TAQUERIA DE PAZON ROZON PARRILLA,6-10,JALISCO,199,,-99.18640028,19.40362564,CDMX
09015722511006716000027772S7,SONORA PRIME GRILL,0-5,DURANGO,205,,-99.16763035,19.41978031,CDMX
09015722516004701000000000S0,SUBWAY,0-5,DURANGO,209,,-99.16762872,19.41978067,CDMX
09015722511018401000000000S2,SHUCHI,0-5,DURANGO,209,,-99.16762872,19.41978067,CDMX
09015722518005212011047675S3,SUBWAY,0-5,DURANGO,209,,-99.16762872,19.41978067,CDMX
09015722511023371000000000S0,LUCKY SUSHI,0-5,DURANGO,209,,-99.16762872,19.41978067,CDMX
09016722514002491000000000U3,VENTA Y PREPARACION DE ANTOJITOS MEXICANOS LA ESQUINITA,0-5,ARQUITECTO CARLOS LAZO,24,0,-99.19192394,19.40230179,CDMX
15057722514005401000000000U5,AKA USHI,0-5,INGENIEROS MILITARES,2,0,-99.21442665,19.45844478,CDMX
09016722517002591000000000U3,ROSTICERIA CHICKEN POLLO,0-5,JALISCO,197,,-99.18640941,19.40360736,CDMX
09015722516003033000038496S9,LITTLE CAESARS CONDESA,0-5,NUEVO LEÓN,26,,-99.17055028,19.41493499,CDMX
09015722511019121000000000U5,INDIAN GRILL,0-5,TAMAULIPAS,153,0,-99.17635118,19.40897569,CDMX
09016722511005722000000000U4,RINCONCITO DE LUZ,11-30,CERRADA LA PAZ,4,0,-99.18216612,19.40532468,CDMX
